date,channel,spend
2010-12-22,email,47.68
2010-12-23,search,264.4
2010-12-23,display,122.24
2010-12-23,social,45.5
2010-12-23,email,48.5
2010-12-24,search,236.74
2010-12-24,display,104.11
2010-12-24,social,48.71
2010-12-24,email,44.08
2010-12-25,search,240.01
2010-12-25,display,111.4
2010-12-25,social,39.12
2010-12-25,email,43.6
2010-12-26,search,248.03
2010-12-26,display,108.13
2010-12-26,social,46.76
2010-12-26,email,41.68
2010-12-27,search,254.24
2010-12-27,display,122.62
2010-12-27,social,49.38
2010-12-27,email,48.08
2010-12-28,search,261.7
2010-12-28,display,108.11
2010-12-28,social,49.78
2010-12-28,email,45.66
2010-12-29,search,267.05
2010-12-29,display,109.27
2010-12-29,social,44.16
2010-12-29,email,46.56
2010-12-30,search,262.37
2010-12-30,display,108.49
2010-12-30,social,47.04
2010-12-30,email,50.86
2010-12-31,search,255.91
2010-12-31,display,125.38
2010-12-31,social,44.7
2010-12-31,email,49.88
2011-01-01,search,149.7
2011-01-01,display,61.98
2011-01-01,social,25.27
2011-01-01,email,26.22
2011-01-02,search,149.95
2011-01-02,display,71.95
2011-01-02,social,25.97
2011-01-02,email,26.72
2011-01-03,search,145.24
2011-01-03,display,72.76
2011-01-03,social,30.04
2011-01-03,email,29.79
2011-01-04,search,176.14
2011-01-04,display,75.85
2011-01-04,social,28.56
2011-01-04,email,28.74
2011-01-05,search,156.86
2011-01-05,display,74.49
2011-01-05,social,27.05
2011-01-05,email,26.94
2011-01-06,search,156.88
2011-01-06,display,81.62
2011-01-06,social,30.6
2011-01-06,email,29.23
2011-01-07,search,165.18
2011-01-07,display,69.25
2011-01-07,social,29.4
2011-01-07,email,30.04
2011-01-08,search,148.68
2011-01-08,display,64.69
2011-01-08,social,27.09
2011-01-08,email,27.44
2011-01-09,search,138.41
2011-01-09,display,69.1
2011-01-09,social,27.83
2011-01-09,email,24.93
2011-01-10,search,163.1
2011-01-10,display,74.18
2011-01-10,social,27.9
2011-01-10,email,30.37
2011-01-11,search,155.37
2011-01-11,display,77.37
2011-01-11,social,30.46
2011-01-11,email,28.61
2011-01-12,search,164.73
2011-01-12,display,77.68
2011-01-12,social,29.72
2011-01-12,email,30.78
2011-01-13,search,169.84
2011-01-13,display,77.73
2011-01-13,social,28.69
2011-01-13,email,30.78
2011-01-14,search,147.31
2011-01-14,display,78.56
2011-01-14,social,29.97
2011-01-14,email,30.04
2011-01-15,search,149.34
2011-01-15,display,70.42
2011-01-15,social,28.22
2011-01-15,email,24.86
2011-01-16,search,139.19
2011-01-16,display,70.87
2011-01-16,social,25.7
2011-01-16,email,28.84
2011-01-17,search,160.23
2011-01-17,display,71.21
2011-01-17,social,31.3
2011-01-17,email,30.6
2011-01-18,search,170.3
2011-01-18,display,75.88
2011-01-18,social,30.2
2011-01-18,email,29.01
2011-01-19,search,150.56
2011-01-19,display,72.35
2011-01-19,social,30.33
2011-01-19,email,29.1
2011-01-20,search,149.93
2011-01-20,display,73.58
2011-01-20,social,30.22
2011-01-20,email,30.05
2011-01-21,search,163.87
2011-01-21,display,77.75
2011-01-21,social,29.49
2011-01-21,email,30.58
2011-01-22,search,143.72
2011-01-22,display,60.92
2011-01-22,social,24.84
2011-01-22,email,25.08
2011-01-23,search,158.03
2011-01-23,display,64.72
2011-01-23,social,28.44
2011-01-23,email,25.68
2011-01-24,search,158.28
2011-01-24,display,70.33
2011-01-24,social,29.64
2011-01-24,email,29.68
2011-01-25,search,160.26
2011-01-25,display,77.28
2011-01-25,social,29.72
2011-01-25,email,29.0
2011-01-26,search,169.36
2011-01-26,display,75.07
2011-01-26,social,32.81
2011-01-26,email,29.28
2011-01-27,search,146.61
2011-01-27,display,79.42
2011-01-27,social,29.52
2011-01-27,email,32.79
2011-01-28,search,171.95
2011-01-28,display,73.23
2011-01-28,social,31.79
2011-01-28,email,31.79
2011-01-29,search,157.12
2011-01-29,display,67.2
2011-01-29,social,28.66
2011-01-29,email,25.74
2011-01-30,search,144.37
2011-01-30,display,70.55
2011-01-30,social,27.7
2011-01-30,email,27.61
2011-01-31,search,162.59
2011-01-31,display,76.05
2011-01-31,social,33.13
2011-01-31,email,31.17
2011-02-01,search,228.86
2011-02-01,display,103.07
2011-02-01,social,34.57
2011-02-01,email,37.01
2011-02-02,search,212.7
2011-02-02,display,86.74
2011-02-02,social,37.84
2011-02-02,email,38.7
2011-02-03,search,203.53
2011-02-03,display,94.87
2011-02-03,social,38.06
2011-02-03,email,37.41
2011-02-04,search,205.73
2011-02-04,display,90.43
2011-02-04,social,39.3
2011-02-04,email,39.02
2011-02-05,search,198.06
2011-02-05,display,90.4
2011-02-05,social,38.89
2011-02-05,email,35.21
2011-02-06,search,184.26
2011-02-06,display,77.32
2011-02-06,social,37.24
2011-02-06,email,34.98
2011-02-07,search,212.46
2011-02-07,display,91.72
2011-02-07,social,39.35
2011-02-07,email,38.01
2011-02-08,search,221.63
2011-02-08,display,93.44
2011-02-08,social,41.58
2011-02-08,email,38.99
2011-02-09,search,202.11
2011-02-09,display,102.97
2011-02-09,social,40.82
2011-02-09,email,37.98
2011-02-10,search,218.63
2011-02-10,display,98.5
2011-02-10,social,37.31
2011-02-10,email,41.08
2011-02-11,search,209.17
2011-02-11,display,90.47
2011-02-11,social,40.07
2011-02-11,email,37.48
2011-02-12,search,189.68
2011-02-12,display,91.78
2011-02-12,social,34.48
2011-02-12,email,35.65
2011-02-13,search,187.8
2011-02-13,display,88.72
2011-02-13,social,34.72
2011-02-13,email,34.39
2011-02-14,search,191.64
2011-02-14,display,94.81
2011-02-14,social,37.87
2011-02-14,email,36.8
2011-02-15,search,200.79
2011-02-15,display,103.73
2011-02-15,social,38.58
2011-02-15,email,41.44
2011-02-16,search,228.65
2011-02-16,display,92.42
2011-02-16,social,38.24
2011-02-16,email,43.2
2011-02-17,search,209.8
2011-02-17,display,98.79
2011-02-17,social,40.14
2011-02-17,email,38.0
2011-02-18,search,222.43
2011-02-18,display,105.95
2011-02-18,social,39.34
2011-02-18,email,41.25
2011-02-19,search,203.3
2011-02-19,display,96.65
2011-02-19,social,36.01
2011-02-19,email,36.64
2011-02-20,search,196.23
2011-02-20,display,91.71
2011-02-20,social,34.41
2011-02-20,email,36.54
2011-02-21,search,204.8
2011-02-21,display,92.81
2011-02-21,social,37.73
2011-02-21,email,39.53
2011-02-22,search,199.88
2011-02-22,display,95.48
2011-02-22,social,38.19
2011-02-22,email,40.23
2011-02-23,search,225.28
2011-02-23,display,97.92
2011-02-23,social,38.22
2011-02-23,email,41.25
2011-02-24,search,220.77
2011-02-24,display,98.77
2011-02-24,social,36.38
2011-02-24,email,38.21
2011-02-25,search,234.34
2011-02-25,display,108.52
2011-02-25,social,41.03
2011-02-25,email,39.26
2011-02-26,search,188.32
2011-02-26,display,86.45
2011-02-26,social,35.44
2011-02-26,email,37.27
2011-02-27,search,204.09
2011-02-27,display,93.68
2011-02-27,social,36.65
2011-02-27,email,37.55
2011-02-28,search,216.93
2011-02-28,display,96.21
2011-02-28,social,38.11
2011-02-28,email,39.04
2011-03-01,search,217.79
2011-03-01,display,101.86
2011-03-01,social,37.37
2011-03-01,email,39.51
2011-03-02,search,216.64
2011-03-02,display,99.72
2011-03-02,social,42.7
2011-03-02,email,41.23
2011-03-03,search,211.02
2011-03-03,display,98.24
2011-03-03,social,39.32
2011-03-03,email,39.85
2011-03-04,search,221.08
2011-03-04,display,101.42
2011-03-04,social,38.44
2011-03-04,email,42.18
2011-03-05,search,207.62
2011-03-05,display,87.25
2011-03-05,social,35.04
2011-03-05,email,39.54
2011-03-06,search,205.75
2011-03-06,display,89.19
2011-03-06,social,38.22
2011-03-06,email,35.32
2011-03-07,search,223.48
2011-03-07,display,106.82
2011-03-07,social,39.56
2011-03-07,email,41.34
2011-03-08,search,203.07
2011-03-08,display,106.56
2011-03-08,social,40.18
2011-03-08,email,40.45
2011-03-09,search,212.24
2011-03-09,display,109.03
2011-03-09,social,39.32
2011-03-09,email,37.86
2011-03-10,search,228.87
2011-03-10,display,97.63
2011-03-10,social,39.0
2011-03-10,email,41.2
2011-03-11,search,241.7
2011-03-11,display,107.0
2011-03-11,social,38.17
2011-03-11,email,35.59
2011-03-12,search,205.22
2011-03-12,display,86.7
2011-03-12,social,40.35
2011-03-12,email,35.39
2011-03-13,search,194.65
2011-03-13,display,88.61
2011-03-13,social,31.76
2011-03-13,email,35.08
2011-03-14,search,227.95
2011-03-14,display,109.35
2011-03-14,social,36.26
2011-03-14,email,42.93
2011-03-15,search,224.73
2011-03-15,display,100.39
2011-03-15,social,41.91
2011-03-15,email,35.94
2011-03-16,search,206.72
2011-03-16,display,99.71
2011-03-16,social,41.08
2011-03-16,email,42.51
2011-03-17,search,234.95
2011-03-17,display,99.87
2011-03-17,social,38.95
2011-03-17,email,37.91
2011-03-18,search,229.56
2011-03-18,display,95.42
2011-03-18,social,40.07
2011-03-18,email,41.4
2011-03-19,search,205.28
2011-03-19,display,91.55
2011-03-19,social,35.48
2011-03-19,email,38.87
2011-03-20,search,215.56
2011-03-20,display,98.82
2011-03-20,social,36.23
2011-03-20,email,34.59
2011-03-21,search,227.16
2011-03-21,display,99.7
2011-03-21,social,41.23
2011-03-21,email,38.83
2011-03-22,search,245.73
2011-03-22,display,102.13
2011-03-22,social,40.51
2011-03-22,email,39.48
2011-03-23,search,220.51
2011-03-23,display,101.95
2011-03-23,social,38.91
2011-03-23,email,42.08
2011-03-24,search,224.41
2011-03-24,display,102.32
2011-03-24,social,40.36
2011-03-24,email,43.07
2011-03-25,search,235.62
2011-03-25,display,98.63
2011-03-25,social,45.95
2011-03-25,email,39.63
2011-03-26,search,187.49
2011-03-26,display,91.76
2011-03-26,social,36.83
2011-03-26,email,37.24
2011-03-27,search,203.72
2011-03-27,display,92.24
2011-03-27,social,36.74
2011-03-27,email,34.02
2011-03-28,search,219.64
2011-03-28,display,116.25
2011-03-28,social,37.48
2011-03-28,email,43.1
2011-03-29,search,240.1
2011-03-29,display,105.98
2011-03-29,social,44.2
2011-03-29,email,38.39
2011-03-30,search,209.81
2011-03-30,display,107.6
2011-03-30,social,40.41
2011-03-30,email,39.78
2011-03-31,search,232.88
2011-03-31,display,100.32
2011-03-31,social,38.96
2011-03-31,email,40.86
2011-04-01,search,231.44
2011-04-01,display,107.85
2011-04-01,social,39.06
2011-04-01,email,38.92
2011-04-02,search,213.68
2011-04-02,display,87.76
2011-04-02,social,38.52
2011-04-02,email,37.88
2011-04-03,search,190.59
2011-04-03,display,94.45
2011-04-03,social,37.24
2011-04-03,email,37.64
2011-04-04,search,236.46
2011-04-04,display,111.49
2011-04-04,social,41.13
2011-04-04,email,40.71
2011-04-05,search,243.73
2011-04-05,display,104.54
2011-04-05,social,41.51
2011-04-05,email,40.67
2011-04-06,search,228.34
2011-04-06,display,111.81
2011-04-06,social,40.54
2011-04-06,email,40.45
2011-04-07,search,255.08
2011-04-07,display,100.8
2011-04-07,social,40.24
2011-04-07,email,41.14
2011-04-08,search,232.26
2011-04-08,display,113.21
2011-04-08,social,42.02
2011-04-08,email,44.02
2011-04-09,search,198.81
2011-04-09,display,97.37
2011-04-09,social,40.11
2011-04-09,email,39.54
2011-04-10,search,199.14
2011-04-10,display,94.22
2011-04-10,social,38.37
2011-04-10,email,39.68
2011-04-11,search,221.69
2011-04-11,display,105.3
2011-04-11,social,39.5
2011-04-11,email,43.11
2011-04-12,search,230.59
2011-04-12,display,100.24
2011-04-12,social,43.82
2011-04-12,email,35.33
2011-04-13,search,227.24
2011-04-13,display,104.71
2011-04-13,social,41.71
2011-04-13,email,41.58
2011-04-14,search,227.26
2011-04-14,display,108.42
2011-04-14,social,41.73
2011-04-14,email,43.29
2011-04-15,search,240.65
2011-04-15,display,109.58
2011-04-15,social,39.19
2011-04-15,email,36.86
2011-04-16,search,204.71
2011-04-16,display,92.84
2011-04-16,social,37.49
2011-04-16,email,38.15
2011-04-17,search,218.96
2011-04-17,display,93.4
2011-04-17,social,35.91
2011-04-17,email,40.74
2011-04-18,search,238.46
2011-04-18,display,108.78
2011-04-18,social,45.28
2011-04-18,email,41.05
2011-04-19,search,236.96
2011-04-19,display,104.58
2011-04-19,social,44.41
2011-04-19,email,40.73
2011-04-20,search,250.67
2011-04-20,display,102.62
2011-04-20,social,38.93
2011-04-20,email,44.83
2011-04-21,search,218.58
2011-04-21,display,99.0
2011-04-21,social,42.8
2011-04-21,email,41.79
2011-04-22,search,243.33
2011-04-22,display,101.75
2011-04-22,social,42.13
2011-04-22,email,44.72
2011-04-23,search,196.69
2011-04-23,display,93.87
2011-04-23,social,39.3
2011-04-23,email,39.86
2011-04-24,search,203.78
2011-04-24,display,100.05
2011-04-24,social,35.99
2011-04-24,email,40.19
2011-04-25,search,227.04
2011-04-25,display,105.72
2011-04-25,social,42.01
2011-04-25,email,47.64
2011-04-26,search,227.66
2011-04-26,display,103.14
2011-04-26,social,43.37
2011-04-26,email,45.81
2011-04-27,search,229.29
2011-04-27,display,107.19
2011-04-27,social,41.54
2011-04-27,email,49.86
2011-04-28,search,215.53
2011-04-28,display,112.87
2011-04-28,social,46.14
2011-04-28,email,43.1
2011-04-29,search,255.44
2011-04-29,display,111.04
2011-04-29,social,42.38
2011-04-29,email,39.51
2011-04-30,search,203.02
2011-04-30,display,98.6
2011-04-30,social,37.28
2011-04-30,email,37.6
2011-05-01,search,222.81
2011-05-01,display,93.27
2011-05-01,social,37.78
2011-05-01,email,37.47
2011-05-02,search,210.78
2011-05-02,display,100.38
2011-05-02,social,45.2
2011-05-02,email,40.34
2011-05-03,search,227.23
2011-05-03,display,103.71
2011-05-03,social,42.18
2011-05-03,email,43.41
2011-05-04,search,235.63
2011-05-04,display,105.74
2011-05-04,social,42.95
2011-05-04,email,45.59
2011-05-05,search,244.5
2011-05-05,display,124.1
2011-05-05,social,40.16
2011-05-05,email,41.34
2011-05-06,search,230.25
2011-05-06,display,116.34
2011-05-06,social,45.5
2011-05-06,email,42.7
2011-05-07,search,193.77
2011-05-07,display,113.17
2011-05-07,social,41.4
2011-05-07,email,38.21
2011-05-08,search,211.12
2011-05-08,display,95.52
2011-05-08,social,35.0
2011-05-08,email,36.1
2011-05-09,search,241.26
2011-05-09,display,101.75
2011-05-09,social,44.94
2011-05-09,email,42.33
2011-05-10,search,218.23
2011-05-10,display,110.84
2011-05-10,social,41.29
2011-05-10,email,42.36
2011-05-11,search,218.88
2011-05-11,display,118.41
2011-05-11,social,42.9
2011-05-11,email,41.75
2011-05-12,search,231.58
2011-05-12,display,116.43
2011-05-12,social,41.35
2011-05-12,email,45.07
2011-05-13,search,233.62
2011-05-13,display,99.99
2011-05-13,social,41.2
2011-05-13,email,45.53
2011-05-14,search,214.6
2011-05-14,display,97.24
2011-05-14,social,36.07
2011-05-14,email,39.49
2011-05-15,search,196.53
2011-05-15,display,92.04
2011-05-15,social,38.98
2011-05-15,email,42.94
2011-05-16,search,236.22
2011-05-16,display,115.22
2011-05-16,social,45.69
2011-05-16,email,42.69
2011-05-17,search,239.87
2011-05-17,display,111.32
2011-05-17,social,46.43
2011-05-17,email,44.52
2011-05-18,search,252.18
2011-05-18,display,97.27
2011-05-18,social,42.12
2011-05-18,email,40.91
2011-05-19,search,244.16
2011-05-19,display,107.51
2011-05-19,social,46.08
2011-05-19,email,39.49
2011-05-20,search,264.03
2011-05-20,display,110.02
2011-05-20,social,45.38
2011-05-20,email,45.51
2011-05-21,search,240.75
2011-05-21,display,98.54
2011-05-21,social,39.88
2011-05-21,email,41.36
2011-05-22,search,224.1
2011-05-22,display,95.3
2011-05-22,social,41.57
2011-05-22,email,41.7
2011-05-23,search,246.82
2011-05-23,display,116.57
2011-05-23,social,42.86
2011-05-23,email,40.2
2011-05-24,search,248.21
2011-05-24,display,100.67
2011-05-24,social,45.1
2011-05-24,email,42.54
2011-05-25,search,241.92
2011-05-25,display,109.73
2011-05-25,social,45.68
2011-05-25,email,42.95
2011-05-26,search,249.27
2011-05-26,display,115.86
2011-05-26,social,42.97
2011-05-26,email,47.06
2011-05-27,search,243.45
2011-05-27,display,107.02
2011-05-27,social,45.0
2011-05-27,email,46.28
2011-05-28,search,210.95
2011-05-28,display,102.04
2011-05-28,social,38.91
2011-05-28,email,43.46
2011-05-29,search,235.08
2011-05-29,display,97.15
2011-05-29,social,39.02
2011-05-29,email,41.64
2011-05-30,search,230.4
2011-05-30,display,104.33
2011-05-30,social,41.75
2011-05-30,email,43.85
2011-05-31,search,239.06
2011-05-31,display,110.36
2011-05-31,social,45.56
2011-05-31,email,43.5
2011-06-01,search,278.56
2011-06-01,display,118.19
2011-06-01,social,44.91
2011-06-01,email,44.41
2011-06-02,search,223.34
2011-06-02,display,107.51
2011-06-02,social,46.43
2011-06-02,email,46.12
2011-06-03,search,259.28
2011-06-03,display,118.42
2011-06-03,social,42.3
2011-06-03,email,48.09
2011-06-04,search,235.67
2011-06-04,display,101.5
2011-06-04,social,40.58
2011-06-04,email,40.83
2011-06-05,search,227.72
2011-06-05,display,97.47
2011-06-05,social,39.04
2011-06-05,email,40.36
2011-06-06,search,249.99
2011-06-06,display,118.29
2011-06-06,social,52.0
2011-06-06,email,42.26
2011-06-07,search,240.78
2011-06-07,display,122.3
2011-06-07,social,46.58
2011-06-07,email,49.56
2011-06-08,search,248.43
2011-06-08,display,114.01
2011-06-08,social,44.02
2011-06-08,email,44.49
2011-06-09,search,249.49
2011-06-09,display,108.09
2011-06-09,social,46.45
2011-06-09,email,48.65
2011-06-10,search,240.51
2011-06-10,display,117.38
2011-06-10,social,43.18
2011-06-10,email,44.45
2011-06-11,search,242.64
2011-06-11,display,106.94
2011-06-11,social,42.11
2011-06-11,email,39.45
2011-06-12,search,198.2
2011-06-12,display,98.66
2011-06-12,social,39.46
2011-06-12,email,42.43
2011-06-13,search,260.25
2011-06-13,display,109.09
2011-06-13,social,43.62
2011-06-13,email,43.84
2011-06-14,search,236.37
2011-06-14,display,113.74
2011-06-14,social,45.69
2011-06-14,email,47.03
2011-06-15,search,231.64
2011-06-15,display,109.63
2011-06-15,social,45.94
2011-06-15,email,45.68
2011-06-16,search,260.48
2011-06-16,display,112.35
2011-06-16,social,44.7
2011-06-16,email,46.05
2011-06-17,search,243.71
2011-06-17,display,111.93
2011-06-17,social,44.31
2011-06-17,email,47.57
2011-06-18,search,208.64
2011-06-18,display,107.72
2011-06-18,social,37.13
2011-06-18,email,39.84
2011-06-19,search,223.0
2011-06-19,display,104.94
2011-06-19,social,42.98
2011-06-19,email,41.89
2011-06-20,search,256.81
2011-06-20,display,115.18
2011-06-20,social,42.54
2011-06-20,email,43.11
2011-06-21,search,241.97
2011-06-21,display,105.01
2011-06-21,social,42.61
2011-06-21,email,45.97
2011-06-22,search,268.0
2011-06-22,display,112.32
2011-06-22,social,48.03
2011-06-22,email,47.67
2011-06-23,search,270.99
2011-06-23,display,116.71
2011-06-23,social,46.31
2011-06-23,email,44.73
2011-06-24,search,235.89
2011-06-24,display,117.8
2011-06-24,social,42.23
2011-06-24,email,42.16
2011-06-25,search,231.8
2011-06-25,display,105.94
2011-06-25,social,40.39
2011-06-25,email,41.0
2011-06-26,search,234.39
2011-06-26,display,98.96
2011-06-26,social,40.41
2011-06-26,email,37.1
2011-06-27,search,279.09
2011-06-27,display,104.43
2011-06-27,social,44.34
2011-06-27,email,45.92
2011-06-28,search,240.78
2011-06-28,display,112.5
2011-06-28,social,43.62
2011-06-28,email,46.8
2011-06-29,search,249.86
2011-06-29,display,123.1
2011-06-29,social,44.73
2011-06-29,email,44.13
2011-06-30,search,249.18
2011-06-30,display,128.64
2011-06-30,social,40.56
2011-06-30,email,47.14
2011-07-01,search,252.85
2011-07-01,display,114.54
2011-07-01,social,48.32
2011-07-01,email,43.35
2011-07-02,search,229.64
2011-07-02,display,104.57
2011-07-02,social,38.97
2011-07-02,email,40.74
2011-07-03,search,230.75
2011-07-03,display,102.46
2011-07-03,social,45.7
2011-07-03,email,40.44
2011-07-04,search,287.71
2011-07-04,display,112.0
2011-07-04,social,44.62
2011-07-04,email,45.52
2011-07-05,search,266.3
2011-07-05,display,118.76
2011-07-05,social,47.1
2011-07-05,email,48.57
2011-07-06,search,268.19
2011-07-06,display,127.77
2011-07-06,social,45.06
2011-07-06,email,48.88
2011-07-07,search,283.94
2011-07-07,display,102.68
2011-07-07,social,47.63
2011-07-07,email,47.6
2011-07-08,search,239.37
2011-07-08,display,121.38
2011-07-08,social,43.29
2011-07-08,email,48.72
2011-07-09,search,215.38
2011-07-09,display,93.67
2011-07-09,social,40.89
2011-07-09,email,43.84
2011-07-10,search,240.38
2011-07-10,display,94.63
2011-07-10,social,40.28
2011-07-10,email,41.22
2011-07-11,search,245.35
2011-07-11,display,120.54
2011-07-11,social,48.85
2011-07-11,email,44.76
2011-07-12,search,253.3
2011-07-12,display,120.96
2011-07-12,social,46.47
2011-07-12,email,45.66
2011-07-13,search,270.09
2011-07-13,display,117.18
2011-07-13,social,50.31
2011-07-13,email,44.63
2011-07-14,search,257.56
2011-07-14,display,122.59
2011-07-14,social,45.29
2011-07-14,email,46.38
2011-07-15,search,258.61
2011-07-15,display,118.96
2011-07-15,social,42.83
2011-07-15,email,47.77
2011-07-16,search,219.93
2011-07-16,display,107.24
2011-07-16,social,42.2
2011-07-16,email,44.76
2011-07-17,search,229.36
2011-07-17,display,103.08
2011-07-17,social,39.28
2011-07-17,email,42.14
2011-07-18,search,258.87
2011-07-18,display,116.9
2011-07-18,social,49.68
2011-07-18,email,50.76
2011-07-19,search,268.59
2011-07-19,display,117.53
2011-07-19,social,46.4
2011-07-19,email,48.09
2011-07-20,search,254.26
2011-07-20,display,111.42
2011-07-20,social,47.95
2011-07-20,email,49.47
2011-07-21,search,277.06
2011-07-21,display,123.93
2011-07-21,social,46.89
2011-07-21,email,47.99
2011-07-22,search,257.0
2011-07-22,display,126.53
2011-07-22,social,49.38
2011-07-22,email,42.9
2011-07-23,search,241.02
2011-07-23,display,99.72
2011-07-23,social,44.44
2011-07-23,email,42.6
2011-07-24,search,243.09
2011-07-24,display,114.05
2011-07-24,social,41.4
2011-07-24,email,45.97
2011-07-25,search,271.75
2011-07-25,display,115.38
2011-07-25,social,47.99
2011-07-25,email,44.37
2011-07-26,search,281.08
2011-07-26,display,121.65
2011-07-26,social,47.59
2011-07-26,email,44.71
2011-07-27,search,256.08
2011-07-27,display,117.87
2011-07-27,social,51.65
2011-07-27,email,43.73
2011-07-28,search,243.74
2011-07-28,display,119.69
2011-07-28,social,46.31
2011-07-28,email,48.02
2011-07-29,search,253.39
2011-07-29,display,115.79
2011-07-29,social,47.12
2011-07-29,email,43.76
2011-07-30,search,252.42
2011-07-30,display,108.59
2011-07-30,social,44.09
2011-07-30,email,43.5
2011-07-31,search,227.81
2011-07-31,display,106.3
2011-07-31,social,47.88
2011-07-31,email,40.04
2011-08-01,search,255.0
2011-08-01,display,114.9
2011-08-01,social,47.1
2011-08-01,email,47.11
2011-08-02,search,274.89
2011-08-02,display,117.12
2011-08-02,social,46.24
2011-08-02,email,47.42
2011-08-03,search,266.44
2011-08-03,display,124.64
2011-08-03,social,47.26
2011-08-03,email,46.78
2011-08-04,search,249.39
2011-08-04,display,112.57
2011-08-04,social,51.16
2011-08-04,email,49.24
2011-08-05,search,262.88
2011-08-05,display,114.52
2011-08-05,social,47.65
2011-08-05,email,48.01
2011-08-06,search,231.51
2011-08-06,display,111.23
2011-08-06,social,39.97
2011-08-06,email,43.84
2011-08-07,search,234.01
2011-08-07,display,104.06
2011-08-07,social,40.63
2011-08-07,email,46.94
2011-08-08,search,264.16
2011-08-08,display,117.91
2011-08-08,social,48.98
2011-08-08,email,48.91
2011-08-09,search,253.94
2011-08-09,display,122.15
2011-08-09,social,47.99
2011-08-09,email,48.81
2011-08-10,search,271.2
2011-08-10,display,119.87
2011-08-10,social,46.74
2011-08-10,email,52.7
2011-08-11,search,269.42
2011-08-11,display,125.4
2011-08-11,social,50.0
2011-08-11,email,45.85
2011-08-12,search,276.77
2011-08-12,display,125.48
2011-08-12,social,45.68
2011-08-12,email,48.46
2011-08-13,search,249.23
2011-08-13,display,107.04
2011-08-13,social,41.49
2011-08-13,email,40.92
2011-08-14,search,244.94
2011-08-14,display,108.88
2011-08-14,social,44.85
2011-08-14,email,44.71
2011-08-15,search,256.77
2011-08-15,display,119.91
2011-08-15,social,49.41
2011-08-15,email,44.4
2011-08-16,search,288.16
2011-08-16,display,114.05
2011-08-16,social,49.74
2011-08-16,email,50.79
2011-08-17,search,281.25
2011-08-17,display,125.23
2011-08-17,social,50.19
2011-08-17,email,49.04
2011-08-18,search,253.09
2011-08-18,display,124.82
2011-08-18,social,47.97
2011-08-18,email,55.19
2011-08-19,search,288.32
2011-08-19,display,121.77
2011-08-19,social,49.62
2011-08-19,email,48.02
2011-08-20,search,258.08
2011-08-20,display,106.98
2011-08-20,social,47.69
2011-08-20,email,45.59
2011-08-21,search,270.62
2011-08-21,display,108.62
2011-08-21,social,39.66
2011-08-21,email,45.85
2011-08-22,search,252.39
2011-08-22,display,128.38
2011-08-22,social,46.72
2011-08-22,email,46.31
2011-08-23,search,260.72
2011-08-23,display,129.82
2011-08-23,social,50.54
2011-08-23,email,49.93
2011-08-24,search,273.4
2011-08-24,display,128.15
2011-08-24,social,51.0
2011-08-24,email,48.44
2011-08-25,search,257.12
2011-08-25,display,117.03
2011-08-25,social,45.57
2011-08-25,email,48.95
2011-08-26,search,283.53
2011-08-26,display,118.87
2011-08-26,social,47.86
